Ticker,MarketCap_Cr
20MICRONS.NS,675.17
3IINFOLTD.NS,351.95
5PAISA.NS,1046.46
A2ZINFRA.NS,272.63
ABCOTS.NS,911.82
ABINFRA.NS,1202.84
ABSMARINE.NS,520.83
GOLDTECH.NS,290.99
AMJLAND.NS,218.49
AMCL.NS,399.84
AVG.NS,299.11
AVPINFRA.NS,353.21
AVTNPL.NS,1046.19
AYMSYNTEX.NS,986.62
AAREYDRUGS.NS,248.64
AARON.NS,390.17
AARTISURF.NS,366.95
ABAN.NS,201.71
AFSL.NS,1020.53
ACCELYA.NS,1934.15
ACCENTMIC.NS,785.16
ACTIVEINFR.NS,259.76
BIRLAMONEY.NS,880.24
ADOR.NS,1885.94
ADVANCE.NS,809.04
ADVANIHOTR.NS,536.05
AGARIND.NS,1151.45
AGARWALTUF.NS,244.17
AIMTRON.NS,1963.5
AIRAN.NS,242.54
AKIKO.NS,303.7
AFIL.NS,305.13
AKSHARCHEM.NS,213.8
ALANKIT.NS,293.94
ALBERTDAVD.NS,452.52
ALICON.NS,1461.33
ALLTIME.NS,1801.46
ALLETEC.NS,469.11
ACLGATI.NS,971.43
ALLCARGO.NS,1273.69
ALLDIGI.NS,1291.98
ADSL.NS,905.92
ALMONDZ.NS,316.38
AMANTA.NS,412.52
AMBIKCO.NS,729.82
AMRUTANJAN.NS,1968.67
ACL.NS,663.64
ANDHRAPAP.NS,1364.31
ANDHRSUGAR.NS,1044.44
APCL.NS,348.94
AHCL.NS,896.19
ANLON.NS,250.22
ANNAPURNA.NS,544.3
ANONDITA.NS,1168.39
ANTELOPUS.NS,1387.68
AWHCL.NS,1304.58
ANYA.NS,276.0
APEX.NS,928.97
APOLLOPIPE.NS,1321.23
APOLSINHOT.NS,337.32
APRAMEYA.NS,625.46
APTECHT.NS,605.96
ARHAM.NS,263.87
ARIES.NS,441.76
ARIHANTACA.NS,296.7
ARIHANTCAP.NS,1100.95
ARIHANTSUP.NS,1498.61
ARISINFRA.NS,1132.73
ARMANFIN.NS,1722.12
ARROWGREEN.NS,841.3
ASAHISONG.NS,312.78
ASHIMASYN.NS,380.25
ASIANENE.NS,1322.41
ASIANTILES.NS,1508.12
AHLEAST.NS,245.11
ASIANHOTNR.NS,639.33
ASALCBR.NS,1848.0
ASTEC.NS,1866.98
ATALREAL.NS,284.22
ATLANTAA.NS,351.43
ATMASTCO.NS,431.13
ATULAUTO.NS,1312.78
AURUM.NS,1274.09
APS.NS,851.41
AUTOIND.NS,286.73
ASAL.NS,799.41
AVADHSUGAR.NS,759.4
AXITA.NS,337.69
BLKASHYAP.NS,1156.51
BBTCL.NS,414.49
BAGDIGITAL.NS,265.66
BCLIND.NS,961.05
BLAL.NS,855.96
BFINVEST.NS,1673.57
BMWVENTLTD.NS,561.65
BPL.NS,303.7
BAFNAPH.NS,357.83
BAHETI.NS,574.78
BAJAJHCARE.NS,1365.82
BALAJIPHOS.NS,281.28
BALAJITELE.NS,1382.89
BALAXI.NS,202.89
BASML.NS,241.28
