Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,sector_name,Current Price,Trendlyne Momentum Score,Trendlyne Valuation Score,is_buyable,Market Capitalization,Prev Week Trendlyne Momentum Score,Is Stock In PE Buy Zone,buy_intensity,Is Stock in PE Sell Zone,Week change %,%Days traded below current PE Price to Earnings,Month Change %,Trendlyne Durability Score,Prev Day Change %,Day change %,Revenue QoQ Growth %,Forecaster Estimates 1Y forward PEG,PEG TTM PE to Growth
20 Microns Ltd.,20MICRONS,533022,20MICRONS,INE144J01027,Coal & Mining,Metals & Mining,191.34,42.36,52.5,24997.38,675.17,32.31,69.48,16877527.38,69.48,0.25,69.48,-9,55,-0.83,-1.37,-6.63,Export NA,2.17
3B BlackBio Dx Ltd.,,532067,3BBLACKBIO,INE994E01018,Agrochemicals,Chemicals & Petrochemicals,1286.3,29.78,37.33,1642.84,1103.99,30.06,58.75,1813683,58.75,-1.85,58.75,-2.67,70,0.53,-0.92,52.47,Export NA,1.7
3i Infotech Ltd.,3IINFOLTD,532628,3IINFOLTD,INE748C01038,IT Consulting & Software,Software & Services,16.97,34.54,69.67,19029.12,351.95,35.14,16.68,6697329.29,16.68,-2.13,16.68,-15.02,75,-0.24,0.06,2.54,Export NA,0.02
5Paisa Capital Ltd.,5PAISA,540776,5PAISA,INE618L01018,Capital Markets,Banking and Finance,334.95,46.36,44,19013,1046.46,47.09,18.1,19896364.95,18.1,-6.07,18.1,5.83,70,-0.89,-1.72,-0.67,Export NA,-0.89
A2Z Infra Engineering Ltd.,A2ZINFRA,533292,A2ZINFRA,INE619I01012,Construction & Engineering,Cement and Construction,15.48,36.88,47,7282.77,272.63,33.82,86.35,1985526.72,86.35,-9.42,86.35,-5.84,60,-2.36,0.91,4.64,Export NA,-15.33
AB Cotspin India Ltd.,ABCOTS,544522,ABCOTS,INE08PH01015,Textiles,Textiles Apparels & Accessories,415.15,43.99,27,10745.96,911.82,41.9,87.97,9798370.3,87.97,-0.82,87.97,-1.35,75,2.28,-1.52,-23.92,Export NA,5.35
AB Infrabuild Ltd.,ABINFRA,544281,ABINFRA,INE00YB01025,Construction & Engineering,Cement and Construction,18.83,51.02,32,9240.81,1202.84,64.2,92.39,11115217.19,92.39,-6.83,92.39,3.18,60,2.15,-0.74,-38.41,Export NA,0.5
ABM Knowledgeware Ltd.,,531161,ABMKNO,INE850B01026,IT Software Products,Software & Services,282.55,64.37,35,359.46,565.16,63.93,99.88,203153.45,99.88,10.33,99.88,-7.63,65,-2.1,-1.36,-12.07,Export NA,-3.18
ABS Marine Services Ltd.,ABSMARINE,,ABSMARINE,INE0QRV01016,Marine Port & Services,Transportation,212.15,63.18,37,13441.96,520.83,66.97,93.04,7000950,93.04,-7.26,93.04,4.28,,2.76,-3.46,,Export NA,
ACE Software Exports Ltd.,,531525,ACESOFT,INE849B01010,IT Consulting & Software,Software & Services,223.05,43.66,27,21700.3,339.66,60.39,54.08,7370687.25,54.08,-18.22,54.08,-22.5,50,-4.52,-10.57,5.76,Export NA,3.94
ACS Technologies Ltd.,,530745,ACSTECH,INE366C01021,Textiles,Textiles Apparels & Accessories,36.36,64.91,43.5,24569.72,220.64,43.4,65.49,5421021.48,65.49,-1.89,65.49,-4.04,50,0.41,-1.99,74.66,Export NA,-4.86
ADC India Communications Ltd.,,523411,ADCINDIA,INE833A01016,Telecom Equipment,Telecommunications Equipment,1298.1,46.57,36.33,11497.83,597.13,46.68,79.33,6865650.9,79.33,-4.25,79.33,-15.19,50,-2.18,0.49,1.42,Export NA,-0.88
AION-TECH Solutions Ltd.,GOLDTECH,531439,GOLDTECH,INE805A01014,IT Consulting & Software,Software & Services,55.68,29.48,30.67,4239.62,290.99,38.87,56.77,1233701.76,56.77,-8.12,56.77,-4.4,45,1.65,0.25,74.06,Export NA,138.49
AK Capital Services Ltd.,,530499,AKCAPIT,INE701G01012,Finance (including NBFCs),Banking and Finance,1563.1,71.84,40.33,6339.39,1031.65,71.54,99.7,6540010.4,99.7,-7.78,99.7,27.31,35,3.58,-0.65,14.61,Export NA,3.23
AMIC Forging Ltd.,,544037,AMIC,INE0P9J01013,Castings & Forgings,General Industrials,1576.65,58.63,21.33,13634.11,1653.65,55.47,56.47,22546095,56.47,4.1,56.47,6.75,,7.12,1.1,,Export NA,
AMJ Land Holdings Ltd.,AMJLAND,500343,AMJLAND,INE606A01024,Realty,Realty,53.29,33.83,60.67,2921.46,218.49,44.28,27.18,638307.62,27.18,-1.19,27.18,-3.5,90,-2.23,2.19,-22.47,Export NA,0.17
ANB Metal Cast Ltd.,AMCL,,AMCL,INE0VG001016,Aluminium and Aluminium Products,Metals & Mining,337.85,26.8,22.33,675.97,399.84,25.48,100,270280,100,19.53,100,12.45,,-1.14,-0.49,,Export NA,
ARCL Organics Ltd.,,543993,ARCL,INE372M01010,Specialty Chemicals,Chemicals & Petrochemicals,377.35,61.69,48.33,6721.25,301.88,71.31,63.08,2029010.95,63.08,-8.84,63.08,17.37,80,1.17,-2.05,27.98,Export NA,0.46
ASI Industries Ltd.,,502015,ASIIL,INE443A01030,Coal & Mining,Metals & Mining,30.24,40.07,39.17,1630.75,272.39,33.64,52.23,444195.36,52.23,3.88,52.23,-3.69,60,1.42,0.47,-30.28,Export NA,-2.86
AVG Logistics Ltd.,AVG,543910,AVG,INE680Z01018,Warehousing & Logistics,Transportation,198.64,28.85,55,2686.33,299.11,29.32,49.28,803498.8,49.28,-1.81,49.28,-12.49,60,1.49,-0.43,14.41,Export NA,-0.32
AVP Infracon Ltd.,AVPINFRA,,AVPINFRA,INE0R9401019,Roads & Highways,Cement and Construction,141.4,32.82,26.5,15693.06,353.21,32.25,5.56,5542880,5.56,-2.21,5.56,-13.65,,0.74,-1.36,,Export NA,
AVT Natural Products Ltd.,AVTNPL,519105,AVTNPL,INE488D01021,Other Agricultural Products,"Food, Beverages & Tobacco",68.7,42.75,43.17,2261.37,1046.19,44.98,16.27,2365821.9,16.27,-0.87,16.27,0.72,65,-0.07,-0.1,21.06,Export NA,0.49
AYM Syntex Ltd.,AYMSYNTEX,508933,AYMSYNTEX,INE193B01039,Textiles,Textiles Apparels & Accessories,168.42,27.78,51.67,7006.87,986.62,39.21,97.31,6913135.74,97.31,-0.63,97.31,-1.31,75,-0.52,1.58,6.94,Export NA,-7.14
Aarey Drugs & Pharmaceuticals Ltd.,AAREYDRUGS,524412,AAREYDRUGS,INE198H01019,Pharmaceuticals,Pharmaceuticals & Biotechnology,87.69,68.01,44.67,19835.79,248.64,65.93,99.36,4931948.67,99.36,-7.28,99.36,-2.02,65,-0.57,-0.57,-17.66,Export NA,-1.72
Aaron Industries Ltd.,AARON,,AARON,INE721Z01010,Heavy Electrical Equipment,General Industrials,186.27,42.95,29.67,6484.62,390.17,46.21,95.36,2530105.41,95.36,-3.71,95.36,-10.98,65,1.35,-0.15,15.6,Export NA,-19.17
Aarti Surfactants Ltd.,AARTISURF,543210,AARTISURF,INE09EO01013,Specialty Chemicals,Chemicals & Petrochemicals,433.45,34.43,45.83,4241.77,366.95,31.99,2.17,1556518.95,2.17,-2.31,2.17,-7.55,55,0.19,1.04,-17.01,Export NA,-10.89
Aashka Hospitals Ltd.,,543346,AASHKA,INE0EAX01014,Healthcare Facilities,Healthcare,87.25,39.06,31,854.7,204.16,47.51,50.16,174500,50.16,-3.06,50.16,-2.19,,11.08,-0.85,,Export NA,
Aayush Art and Bullion Ltd.,,540718,AAYUSHBULL,INE777X01017,Textiles,Textiles Apparels & Accessories,1062.2,63.44,17,36163.97,1626.46,64.43,88.93,58819325,88.93,2.6,88.93,6.33,,0.99,0.24,,Export NA,
Aban Offshore Ltd.,ABAN,523204,ABAN,INE421A01028,Exploration & Production,Oil & Gas,34.56,39.7,30.83,4419.24,201.71,34.03,,891406.08,,-2.35,,-16.96,,-0.69,0.09,-8.43,Export NA,0.02
Abans Enterprises Ltd.,,512165,ABANSENT,INE365O01028,Commodity Trading  & Distribution,Commercial Services & Supplies,32.07,40.48,54.33,91.33,223.68,38.74,55.31,20428.59,55.31,-0.71,55.31,-3.75,65,0.03,1.55,88.88,Export NA,0.29
Abans Financial Services Ltd.,AFSL,543712,AFSL,INE00ZE01026,Finance (including NBFCs),Banking and Finance,201.49,32.55,56.17,1515.52,1020.53,49.83,0.48,1546637.24,0.48,-4.33,0.48,-0.39,45,-1.57,-0.1,260.74,Export NA,0.22
Abate As Industries Ltd.,,531658,ABATEAS,INE454E01013,Healthcare Facilities,Healthcare,17.57,63.37,34.33,3659.56,276.91,70.46,42.2,1013384.89,42.2,-7.28,42.2,1.97,,-0.28,-2.23,,Export NA,0.23
Accelya Solutions India Ltd.,ACCELYA,532268,ACCELYA,INE793A01012,IT Consulting & Software,Software & Services,1295.8,41.1,49.33,3588.97,1934.15,44.62,17.06,6941600.6,17.06,-2.2,17.06,-6.62,65,0.7,0.23,3.39,Export NA,0.46
Accent Microcell Ltd.,ACCENTMIC,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals,Pharmaceuticals & Biotechnology,327.3,69.83,29.83,20842.89,785.16,68.3,73.87,16365000,73.87,3.14,73.87,20.77,,6.37,2.33,,Export NA,
Active Infrastructures Ltd.,ACTIVEINFR,,ACTIVEINFR,INE0KLO01025,Construction & Engineering,Cement and Construction,173,16.62,26.83,1998,259.76,24.99,90.27,519000,90.27,-2.4,90.27,1.76,,1.73,0,,Export NA,
Adcounty Media India Ltd.,,544435,ADCOUNTY,INE0W1601012,Advertising & Media,Media,151.15,17.88,28.17,16710.22,340.11,17.56,34,5683240,34,-14.19,34,-30.39,45,4.97,-3.23,-2.03,Export NA,
Aditya Birla Money Ltd.,BIRLAMONEY,532974,BIRLAMONEY,INE865C01022,Capital Markets,Banking and Finance,155.77,41.47,34.33,4326.2,880.24,44.33,31.92,3808109.19,31.92,-1.49,31.92,-5.47,50,0.86,-0.53,-5.5,Export NA,-0.64
Ador Welding Ltd.,ADOR,517041,ADOR,INE045A01017,Other Industrial Goods,General Industrials,1083.7,65.79,42.83,3894.2,1885.94,65.72,66.61,7344234.9,66.61,-2.38,66.61,-2.72,85,0.05,-0.96,11.61,Export NA,
Advait Energy Transitions Ltd.,,543230,ADVAIT,INE0ALI01010,Wires & Cables,Consumer Durables,1542.35,41.7,39.83,15348.98,1668.16,44.93,9.66,25604552.35,9.66,-7.85,9.66,-14.83,55,-0.04,-1.28,32.46,Export NA,0.67
Advance Agrolife Ltd.,ADVANCE,544562,ADVANCE,INE1B0W01010,Agrochemicals,Chemicals & Petrochemicals,125.85,18.77,33.83,37037.16,809.04,10.42,100,29964381.6,100,-6.59,100,-11.68,40,2.95,-2.71,26.11,Export NA,
